SIGNAL2,B,C
407.8,0.01206,6118
408,0.01204,6314
408.2,0.01204,6122
408.4,0.01204,5990
408.6,0.01202,6310
408.8,0.01203,6186
409,0.01204,6294
409.2,0.01201,6548
409.4,0.01201,6196
409.6,0.01203,6500
409.8,0.01202,6302
410,0.01201,6354
410.2,0.01201,6416
410.4,0.012,6240
410.6,0.012,6220
410.8,0.01203,6254
411,0.01201,6452
411.2,0.01205,6382
411.4,0.01204,6516
411.6,0.01204,6382
411.8,0.01203,6532
412,0.01201,6416
412.2,0.01203,6526
412.4,0.01201,6466
412.6,0.01202,6354
412.8,0.01203,6698
413,0.01203,6590
413.2,0.01202,6530
413.4,0.01203,6272
413.6,0.01203,6578
413.8,0.01202,6470
414,0.01201,6556
414.2,0.01201,6540
414.4,0.012,6394
414.6,0.01201,6570
414.8,0.01201,6372
415,0.01202,6616
415.2,0.01202,6662
415.4,0.01205,6556
415.6,0.01203,6500
415.8,0.01202,6554
416,0.01201,6392
416.2,0.01201,6500
416.4,0.01201,6580
416.6,0.01202,6654
416.8,0.01201,6614
417,0.012,6640
417.2,0.01203,6608
417.4,0.01201,6596
417.6,0.01203,6432
417.8,0.01201,6652
418,0.012,6454
418.2,0.01202,6534
418.4,0.012,6640
418.6,0.012,6596
418.8,0.01201,6600
419,0.01202,6610
419.2,0.01201,6670
419.4,0.012,6860
419.6,0.012,6638
419.8,0.01201,6832
420,0.01201,6598
420.2,0.01199,6642
420.4,0.01202,6536
420.6,0.01203,6652
420.8,0.01202,6586
421,0.01205,6830
421.2,0.01201,6822
421.4,0.01202,6868
421.6,0.012,6752
421.8,0.01203,6616
422,0.01202,6714
422.2,0.01203,6676
422.4,0.01199,6958
422.6,0.01202,6722
422.8,0.01203,6592
423,0.01203,6572
423.2,0.01203,6746
423.4,0.012,6656
423.6,0.01198,6684
423.8,0.01202,6612
424,0.012,6720
424.2,0.01201,6840
424.4,0.01202,6718
424.6,0.01201,6640
424.8,0.01198,6808
425,0.012,6542
425.2,0.01202,6732
425.4,0.01201,6780
425.6,0.01203,6944
425.8,0.01201,6788
426,0.01202,6958
426.2,0.01203,6670
426.4,0.01202,6908
426.6,0.01205,6866
426.8,0.01201,6884
427,0.012,6892
427.2,0.01203,6942
427.4,0.01201,6954
427.6,0.01201,6930
427.8,0.01202,6626
428,0.01204,7004
428.2,0.01202,6700
428.4,0.01202,6828
428.6,0.01199,6980
428.8,0.01202,6860
429,0.01205,6714
429.2,0.01203,6938
429.4,0.01203,7002
429.6,0.01203,6836
429.8,0.01204,6798
430,0.01203,6984
430.2,0.01203,7066
430.4,0.01205,7094
430.6,0.01204,6788
430.8,0.01201,6998
431,0.01204,6966
431.2,0.01204,6560
431.4,0.01205,6902
431.6,0.01203,6870
431.8,0.01204,6820
432,0.01203,6964
432.2,0.01206,7020
432.4,0.01205,6900
432.6,0.01204,6744
432.8,0.01204,7152
433,0.01201,7050
433.2,0.01203,6896
433.4,0.01208,7038
433.6,0.01203,7072
433.8,0.01202,6960
434,0.012,6752
434.2,0.01199,6924
434.4,0.01202,6548
434.6,0.01203,6868
434.8,0.01201,6888
435,0.01199,6808
435.2,0.01201,6808
435.4,0.01201,6666
435.6,0.01202,6904
435.8,0.01204,6950
436,0.01204,6750
436.2,0.01203,6874
436.4,0.01203,6800
436.6,0.01203,6806
436.8,0.012,6672
437,0.01203,6806
437.2,0.01205,6968
437.4,0.01204,6738
437.6,0.01202,6898
437.8,0.01203,6766
438,0.01202,6716
438.2,0.01203,6704
438.4,0.01203,6912
438.6,0.01203,7024
438.8,0.01202,6828
439,0.01201,6972
439.2,0.01202,6922
439.4,0.01201,6784
439.6,0.01202,6714
439.8,0.01203,7006
440,0.01204,6854
440.2,0.01202,6974
440.4,0.01201,6706
440.6,0.01202,7062
440.8,0.01203,7072
441,0.012,6716
441.2,0.01199,6790
441.4,0.01201,6670
441.6,0.01203,6854
441.8,0.01204,6998
442,0.01204,6930
442.2,0.01203,6682
442.4,0.01202,6632
442.6,0.01203,6716
442.8,0.01205,6846
443,0.01203,6662
443.2,0.01201,6858
443.4,0.01201,6832
443.6,0.01204,6670
443.8,0.01204,6924
444,0.01204,6722
444.2,0.01202,6814
444.4,0.01202,6902
444.6,0.01203,6688
444.8,0.01202,6676
445,0.01202,6742
445.2,0.01203,6724
445.4,0.01204,6918
445.6,0.01203,6822
445.8,0.01201,6652
446,0.012,6624
446.2,0.01202,6612
446.4,0.01205,6764
446.6,0.01204,6600
446.8,0.01205,6678
447,0.01202,6822
447.2,0.01203,6726
447.4,0.01206,6756
447.6,0.01201,6510
447.8,0.01202,6734
448,0.01202,6516
448.2,0.01203,6578
448.4,0.01202,6672
448.6,0.01203,6732
448.8,0.01202,6424
449,0.01201,6532
449.2,0.01202,6526
449.4,0.01202,6700
449.6,0.01202,6682
449.8,0.01202,6500
450,0.01202,6660
450.2,0.01201,6542
450.4,0.01203,6578
450.6,0.01203,6518
450.8,0.01205,6562
451,0.01201,6484
451.2,0.012,6504
451.4,0.01204,6600
451.6,0.01202,6196
451.8,0.01201,6602
452,0.01203,6364
452.2,0.01199,6350
452.4,0.012,6370
452.6,0.01201,6552
452.8,0.01201,6404
453,0.01202,6370
453.2,0.01204,6438
453.4,0.01199,6506
453.6,0.01199,6462
453.8,0.01201,6434
454,0.012,6280
454.2,0.01201,6262
454.4,0.01202,6412
454.6,0.01201,6410
454.8,0.01199,6302
455,0.01201,6534
455.2,0.01201,6464
455.4,0.01201,6292
455.6,0.01201,6240
455.8,0.01201,6368
456,0.01199,6238
456.2,0.01201,6392
456.4,0.01202,6322
456.6,0.01201,6124
456.8,0.01202,6174
457,0.01204,6230
457.2,0.01204,6360
457.4,0.01204,6362
457.6,0.01205,6208
457.8,0.01201,6128
458,0.01201,6414
458.2,0.01201,6306
458.4,0.01203,6146
458.6,0.01204,6070
458.8,0.01202,6096
459,0.01203,6104
459.2,0.01203,6232
459.4,0.01204,6164
459.6,0.01204,6270
459.8,0.01204,6278
460,0.01204,6056
460.2,0.01203,6084
460.4,0.01203,6058
460.6,0.01201,6288
460.8,0.01202,6046
461,0.01202,6098
461.2,0.01204,5980
461.4,0.01201,6022
461.6,0.01201,6042
461.8,0.01203,6202
462,0.01203,6182
462.2,0.01203,5862
462.4,0.012,5968
462.6,0.01201,5854
462.8,0.01199,5928
463,0.01202,5850
463.2,0.01199,5946
463.4,0.012,6022
463.6,0.012,5954
463.8,0.01201,5766
464,0.01203,5980
464.2,0.01201,5928
464.4,0.01201,5762
464.6,0.01203,5680
464.8,0.01203,5978
465,0.01202,6090
465.2,0.01203,5676
465.4,0.01202,5814
465.6,0.012,5744
465.8,0.01202,5766
466,0.01199,5976
466.2,0.01201,5668
466.4,0.01202,5912
466.6,0.01202,5782
466.8,0.01205,6016
467,0.01203,5890
467.2,0.01201,5704
467.4,0.01202,5674
467.6,0.01202,5782
467.8,0.01202,5560
468,0.01201,5704
468.2,0.01203,5704
468.4,0.01201,5716
468.6,0.01202,5602
468.8,0.01204,5916
469,0.01204,5688
469.2,0.01204,5702
469.4,0.01203,5862
469.6,0.01203,5616
469.8,0.01204,5656
470,0.01203,5618
470.2,0.01203,5780
470.4,0.01202,5454
470.6,0.01204,5820
470.8,0.01203,5756
471,0.01202,5502
471.2,0.01203,5596
471.4,0.01204,5720
471.6,0.01204,5600
471.8,0.01204,5652
472,0.01205,5706
472.2,0.01203,5480
472.4,0.01205,5710
472.6,0.01205,5616
